ID,Category,Question,Conditions
385,Branch + District,AI&DS in Salem?,"branch=AI & Data Science, district=Salem"
386,Branch + District,ECE in Erode?,"branch=ECE, district=Erode"
387,Branch + District,Chemical Engineering in Thoothukudi?,"branch=Chemical Engineering, district=Thoothukudi"
388,Branch + District,Civil Engineering in Vellore?,"branch=Civil Engineering, district=Vellore"
389,Branch + District,CSE colleges in Thoothukudi?,"branch=CSE, district=Thoothukudi"
390,Branch + District,Mechanical Engineering in Krishnagiri?,"branch=Mechanical Engineering, district=Krishnagiri"
391,Branch + District,EEE in Kanchipuram?,"branch=EEE, district=Kanchipuram"
392,Branch + District,ECE in Chennai area colleges?,"branch=ECE, district=Chennai"
393,Branch + District,CSE colleges in Kallakurichi?,"branch=CSE, district=Kallakurichi"
394,Branch + District,Biotechnology in Erode?,"branch=Biotechnology, district=Erode"
395,Branch + District,IT in Vellore?,"branch=Information Technology, district=Vellore"
396,Branch + District,Mechanical Engineering colleges in Namakkal?,"branch=Mechanical Engineering, district=Namakkal"
397,Branch + District,AI&DS in Tirunelveli colleges?,"branch=AI & Data Science, district=Tirunelveli"
398,Branch + District,ECE in Kanchipuram?,"branch=ECE, district=Kanchipuram"
399,Branch + District,Mechatronics in Madurai?,"branch=Mechatronics, district=Madurai"
400,Branch + District,CSE in Tiruvallur?,"branch=CSE, district=Tiruvallur"
401,Cutoff + Branch,With 180 cutoff which CSE colleges can I get?,"cutoff=180, branch=CSE"
402,Cutoff + Branch,Which ECE colleges can I get with 170?,"cutoff=170, branch=ECE"
403,Cutoff + Branch,I have 160 cutoff. What Mechanical colleges are possible?,"cutoff=160, branch=Mechanical Engineering"
404,Cutoff + Branch,Which Chemical Engineering colleges are possible with 175 cutoff?,"cutoff=175, branch=Chemical Engineering"
405,Cutoff + Branch,CSE colleges for 185 cutoff?,"cutoff=185, branch=CSE"
406,Cutoff + Branch,I have 165 cutoff. Which EEE colleges can I get?,"cutoff=165, branch=EEE"
407,Cutoff + Branch,Petrochemical Engineering colleges for 170 cutoff?,"cutoff=170, branch=Petrochemical Engineering"
408,Cutoff + Branch,I have 175 cutoff. Show me AI&DS colleges.,"cutoff=175, branch=AI & Data Science"
409,Cutoff + Branch,IT colleges possible for 180 cutoff?,"cutoff=180, branch=Information Technology"
410,Cutoff + Branch,I have 155 cutoff. Which Civil Engineering colleges can I get?,"cutoff=155, branch=Civil Engineering"
411,Cutoff + Branch,Biotechnology colleges for 165 cutoff?,"cutoff=165, branch=Biotechnology"
412,Cutoff + Branch,I have 185 cutoff. Show Biomedical Engineering colleges.,"cutoff=185, branch=Biomedical Engineering"
413,Cutoff + Branch,Which Aeronautical Engineering colleges for 180 cutoff?,"cutoff=180, branch=Aeronautical Engineering"
414,Cutoff + Branch,I have 172 cutoff. Automobile Engineering colleges?,"cutoff=172, branch=Automobile Engineering"
415,Cutoff + Branch,AI & ML colleges possible for 178 cutoff?,"cutoff=178, branch=AI & ML"
416,Cutoff + Branch,I have 168 cutoff. Which Mechatronics colleges?,"cutoff=168, branch=Mechatronics"
417,Cutoff + Branch,Food Technology colleges for 160 cutoff?,"cutoff=160, branch=Food Technology"
418,Cutoff + Branch,Robotics and Automation colleges for 175 cutoff?,"cutoff=175, branch=Robotics and Automation"
419,Cutoff + Branch,I have 190 cutoff. Which CSE colleges can I get?,"cutoff=190, branch=CSE"
420,Cutoff + Branch,ECE colleges for 162 cutoff?,"cutoff=162, branch=ECE"
421,Cutoff + Branch,With 183 cutoff which IT colleges?,"cutoff=183, branch=Information Technology"
422,Cutoff + Branch,I have 173 cutoff. Mechanical Engineering possible?,"cutoff=173, branch=Mechanical Engineering"
423,Cutoff + Branch,EEE colleges for 167 cutoff?,"cutoff=167, branch=EEE"
424,Cutoff + Branch,I have 188 cutoff. Which AI&DS colleges can I get?,"cutoff=188, branch=AI & Data Science"
425,Cutoff + Branch,CSE colleges for 158 cutoff?,"cutoff=158, branch=CSE"
426,Cutoff + Branch,I have 177 cutoff. Give Chemical Engineering options.,"cutoff=177, branch=Chemical Engineering"
427,Cutoff + Branch,Petrochemical colleges for 165 cutoff?,"cutoff=165, branch=Petrochemical Engineering"
428,Cutoff + Branch,I have 193 cutoff. Which top CSE colleges?,"cutoff=193, branch=CSE"
429,Cutoff + Branch,Civil Engineering colleges for 152 cutoff?,"cutoff=152, branch=Civil Engineering"
430,Cutoff + Branch,I have 182 cutoff. ECE colleges possible?,"cutoff=182, branch=ECE"
431,Cutoff + Branch,CSE colleges with 156 cutoff?,"cutoff=156, branch=CSE"
432,Cutoff + Branch,I have 171 cutoff. Show Mechanical Engineering colleges.,"cutoff=171, branch=Mechanical Engineering"
433,Cutoff + Branch,Biomedical Engineering colleges for 169 cutoff?,"cutoff=169, branch=Biomedical Engineering"
434,Cutoff + Branch,I have 186 cutoff. AI&ML colleges?,"cutoff=186, branch=AI & ML"
435,Cutoff + Branch,Aeronautical colleges for 185 cutoff?,"cutoff=185, branch=Aeronautical Engineering"
436,Cutoff + Branch,I have 163 cutoff. Mechatronics colleges possible?,"cutoff=163, branch=Mechatronics"
437,Cutoff + Branch,IT colleges for 195 cutoff?,"cutoff=195, branch=Information Technology"
438,Cutoff + Branch,I have 157 cutoff. EEE possible?,"cutoff=157, branch=EEE"
439,Cutoff + Branch,CSE 192 cutoff which colleges?,"cutoff=192, branch=CSE"
440,Cutoff + Branch,I have 174 cutoff. Biotechnology colleges?,"cutoff=174, branch=Biotechnology"
441,Cutoff + Branch,Which CSE colleges for 164 cutoff?,"cutoff=164, branch=CSE"
442,Cutoff + Branch,I have 187 cutoff. Chemical Engineering colleges?,"cutoff=187, branch=Chemical Engineering"
443,Cutoff + Branch,ECE colleges for 179 cutoff?,"cutoff=179, branch=ECE"
444,Cutoff + Branch,I have 161 cutoff. IT colleges possible?,"cutoff=161, branch=Information Technology"
445,Cutoff + Branch,Mechanical Engineering for 184 cutoff?,"cutoff=184, branch=Mechanical Engineering"
446,Cutoff + Branch,I have 166 cutoff. AI&DS colleges?,"cutoff=166, branch=AI & Data Science"
447,Cutoff + Branch,CSE colleges for 176 cutoff?,"cutoff=176, branch=CSE"
448,Cutoff + Branch,I have 153 cutoff. Civil Engineering colleges?,"cutoff=153, branch=Civil Engineering"
449,Cutoff + Branch,Automobile Engineering for 181 cutoff?,"cutoff=181, branch=Automobile Engineering"
450,Cutoff + Branch,I have 196 cutoff. Which ECE colleges?,"cutoff=196, branch=ECE"
451,Cutoff + Branch,CSE for 148 cutoff possible?,"cutoff=148, branch=CSE"
452,Cutoff + Branch,I have 189 cutoff. Mechanical colleges?,"cutoff=189, branch=Mechanical Engineering"
453,Cutoff + Branch,EEE for 176 cutoff?,"cutoff=176, branch=EEE"
454,Cutoff + Branch,I have 159 cutoff. Which AI&DS colleges?,"cutoff=159, branch=AI & Data Science"
455,Cutoff + Branch,Robotics colleges for 178 cutoff?,"cutoff=178, branch=Robotics and Automation"
456,Cutoff + Branch,I have 194 cutoff. CSE or IT which is better?,"cutoff=194, branch=CSE, branch=Information Technology"
457,Cutoff + Branch,Biotechnology for 170 cutoff possible?,"cutoff=170, branch=Biotechnology"
458,Cutoff + Branch,I have 162 cutoff. Which Mechanical Engineering colleges?,"cutoff=162, branch=Mechanical Engineering"
459,Cutoff + Branch,Food Technology for 155 cutoff?,"cutoff=155, branch=Food Technology"
460,Cutoff + Branch,I have 183 cutoff. ECE good colleges?,"cutoff=183, branch=ECE"
461,Cutoff + Branch,CSE colleges for 145 cutoff?,"cutoff=145, branch=CSE"
462,Cutoff + Branch,I have 191 cutoff. Which top ECE colleges?,"cutoff=191, branch=ECE"
463,Cutoff + Branch,Mechatronics for 175 cutoff?,"cutoff=175, branch=Mechatronics"
464,Cutoff + Branch,I have 154 cutoff. IT or CSE which to apply?,"cutoff=154, branch=CSE, branch=Information Technology"
465,Cutoff + Branch,Industrial Engineering for 160 cutoff?,"cutoff=160, branch=Industrial Engineering"
466,Cutoff + Branch,I have 197 cutoff. Top CSE college options?,"cutoff=197, branch=CSE"
467,Cutoff + Branch,EEE colleges for 150 cutoff?,"cutoff=150, branch=EEE"
468,Cutoff + Branch,I have 185 cutoff. Civil Engineering or Mechanical which to choose?,"cutoff=185, branch=Civil Engineering, branch=Mechanical Engineering"
469,Cutoff + Branch,Chemical Engineering for 168 cutoff?,"cutoff=168, branch=Chemical Engineering"
470,Cutoff + Branch,I have 179 cutoff. AI&ML colleges?,"cutoff=179, branch=AI & ML"
471,Cutoff + Branch,CSE for 143 cutoff possible?,"cutoff=143, branch=CSE"
472,Cutoff + Branch,I have 192 cutoff. Biomedical Engineering?,"cutoff=192, branch=Biomedical Engineering"
473,Cutoff + Branch,Aeronautical Engineering for 188 cutoff?,"cutoff=188, branch=Aeronautical Engineering"
474,Cutoff + Branch,I have 163 cutoff. EEE or ECE which is better to choose?,"cutoff=163, branch=ECE, branch=EEE"
475,Cutoff + Branch,IT colleges for 171 cutoff?,"cutoff=171, branch=Information Technology"
476,Cutoff + Branch,I have 198 cutoff. Best CSE colleges?,"cutoff=198, branch=CSE"
477,Cutoff + Branch,Petroleum Engineering for 172 cutoff?,"cutoff=172, branch=Petrochemical Engineering"
478,Cutoff + Branch,I have 149 cutoff. Mechanical Engineering possible?,"cutoff=149, branch=Mechanical Engineering"
479,Cutoff + Branch,AI&DS colleges for 182 cutoff?,"cutoff=182, branch=AI & Data Science"
480,Cutoff + Branch,I have 173 cutoff. ECE or CSE which to prefer?,"cutoff=173, branch=ECE, branch=CSE"
481,Cutoff + Branch,Biotechnology for 164 cutoff?,"cutoff=164, branch=Biotechnology"
482,Cutoff + Branch,I have 186 cutoff. CSE colleges good placements?,"cutoff=186, branch=CSE"
483,Cutoff + Branch,EEE for 180 cutoff which colleges?,"cutoff=180, branch=EEE"
484,Cutoff + Branch,I have 169 cutoff. Civil colleges?,"cutoff=169, branch=Civil Engineering"
485,Cutoff + Branch,IT for 192 cutoff which top colleges?,"cutoff=192, branch=Information Technology"
486,Cutoff + Branch,I have 178 cutoff. Food Technology possible?,"cutoff=178, branch=Food Technology"
487,Cutoff + Branch,Mechatronics for 183 cutoff?,"cutoff=183, branch=Mechatronics"
488,Cutoff + Branch,I have 151 cutoff. Any good branch options?,"cutoff=151, branch=general"
489,Cutoff + Branch,CSE for 200 cutoff best colleges?,"cutoff=200, branch=CSE"
490,Cutoff + Branch,I have 167 cutoff. Automobile Engineering colleges?,"cutoff=167, branch=Automobile Engineering"
491,Cutoff + Branch,Robotics for 165 cutoff which college?,"cutoff=165, branch=Robotics and Automation"
492,Cutoff + Branch,I have 176 cutoff. AI&DS or CSE which better?,"cutoff=176, branch=AI & Data Science, branch=CSE"
493,Cutoff + Branch,Petrochemical Engineering for 160 cutoff?,"cutoff=160, branch=Petrochemical Engineering"
494,Cutoff + Branch,I have 194 cutoff. Mechanical or Civil which?,"cutoff=194, branch=Mechanical Engineering, branch=Civil Engineering"
495,Cutoff + Branch,CSE for 147 cutoff any college?,"cutoff=147, branch=CSE"
496,Cutoff + Branch,I have 184 cutoff. IT colleges near Chennai?,"cutoff=184, branch=Information Technology"
497,Cutoff + Branch,EEE for 155 cutoff which college?,"cutoff=155, branch=EEE"
498,Cutoff + Branch,I have 177 cutoff. Mechatronics or Mechanical?,"cutoff=177, branch=Mechatronics, branch=Mechanical Engineering"
499,Cutoff + Branch,Biomedical for 172 cutoff which colleges?,"cutoff=172, branch=Biomedical Engineering"
500,Cutoff + Branch,I have 195 cutoff. AI or CSE which is better?,"cutoff=195, branch=AI & Data Science, branch=CSE"
501,Cutoff + Branch + District,With 175 cutoff which CSE colleges can I get in Coimbatore?,"cutoff=175, branch=CSE, district=Coimbatore"
502,Cutoff + Branch + District,I have 170 cutoff. Show ECE colleges in Chennai.,"cutoff=170, branch=ECE, district=Chennai"
503,Cutoff + Branch + District,Which Chemical Engineering colleges in Villupuram can I get with 165 cutoff?,"cutoff=165, branch=Chemical Engineering, district=Villupuram"
504,Cutoff + Branch + District,With 180 cutoff which Mechanical colleges in Salem are possible?,"cutoff=180, branch=Mechanical Engineering, district=Salem"
505,Cutoff + Branch + District,CSE colleges in Madurai for 178 cutoff?,"cutoff=178, branch=CSE, district=Madurai"
506,Cutoff + Branch + District,I have 173 cutoff. Show ECE colleges in Coimbatore.,"cutoff=173, branch=ECE, district=Coimbatore"
507,Cutoff + Branch + District,Mechanical colleges in Tiruchirappalli for 168 cutoff?,"cutoff=168, branch=Mechanical Engineering, district=Tiruchirappalli"
508,Cutoff + Branch + District,I have 182 cutoff. CSE colleges in Chennai?,"cutoff=182, branch=CSE, district=Chennai"
509,Cutoff + Branch + District,EEE colleges in Tirunelveli for 160 cutoff?,"cutoff=160, branch=EEE, district=Tirunelveli"
510,Cutoff + Branch + District,I have 185 cutoff. IT colleges in Coimbatore?,"cutoff=185, branch=Information Technology, district=Coimbatore"
511,Cutoff + Branch + District,Civil Engineering colleges in Vellore for 155 cutoff?,"cutoff=155, branch=Civil Engineering, district=Vellore"
512,Cutoff + Branch + District,I have 190 cutoff. ECE colleges in Coimbatore?,"cutoff=190, branch=ECE, district=Coimbatore"
513,Cutoff + Branch + District,Petroleum Engineering in Villupuram for 170 cutoff?,"cutoff=170, branch=Petrochemical Engineering, district=Villupuram"
514,Cutoff + Branch + District,I have 163 cutoff. Mechanical colleges in Erode?,"cutoff=163, branch=Mechanical Engineering, district=Erode"
515,Cutoff + Branch + District,CSE colleges in Salem for 176 cutoff?,"cutoff=176, branch=CSE, district=Salem"
516,Cutoff + Branch + District,I have 167 cutoff. IT colleges in Madurai?,"cutoff=167, branch=Information Technology, district=Madurai"
517,Cutoff + Branch + District,AI&DS colleges in Chennai for 180 cutoff?,"cutoff=180, branch=AI & Data Science, district=Chennai"
518,Cutoff + Branch + District,I have 158 cutoff. EEE colleges in Salem?,"cutoff=158, branch=EEE, district=Salem"
519,Cutoff + Branch + District,ECE colleges in Tiruchirappalli for 174 cutoff?,"cutoff=174, branch=ECE, district=Tiruchirappalli"
520,Cutoff + Branch + District,I have 187 cutoff. CSE in Coimbatore?,"cutoff=187, branch=CSE, district=Coimbatore"
521,Cutoff + Branch + District,Mechanical Engineering in Coimbatore for 165 cutoff?,"cutoff=165, branch=Mechanical Engineering, district=Coimbatore"
522,Cutoff + Branch + District,I have 172 cutoff. Civil Engineering in Chennai?,"cutoff=172, branch=Civil Engineering, district=Chennai"
523,Cutoff + Branch + District,Chemical Engineering in Coimbatore for 178 cutoff?,"cutoff=178, branch=Chemical Engineering, district=Coimbatore"
524,Cutoff + Branch + District,I have 183 cutoff. ECE in Madurai?,"cutoff=183, branch=ECE, district=Madurai"
525,Cutoff + Branch + District,AI&ML colleges in Coimbatore for 185 cutoff?,"cutoff=185, branch=AI & ML, district=Coimbatore"
526,Cutoff + Branch + District,I have 161 cutoff. Mechanical Engineering in Tirunelveli?,"cutoff=161, branch=Mechanical Engineering, district=Tirunelveli"
527,Cutoff + Branch + District,CSE in Kanchipuram for 175 cutoff?,"cutoff=175, branch=CSE, district=Kanchipuram"
528,Cutoff + Branch + District,I have 179 cutoff. Biotechnology in Coimbatore?,"cutoff=179, branch=Biotechnology, district=Coimbatore"
529,Cutoff + Branch + District,Biomedical Engineering in Chennai for 165 cutoff?,"cutoff=165, branch=Biomedical Engineering, district=Chennai"
530,Cutoff + Branch + District,I have 192 cutoff. CSE in Madurai?,"cutoff=192, branch=CSE, district=Madurai"
531,Cutoff + Branch + District,Aeronautical Engineering in Chennai for 185 cutoff?,"cutoff=185, branch=Aeronautical Engineering, district=Chennai"
532,Cutoff + Branch + District,I have 168 cutoff. ECE in Vellore?,"cutoff=168, branch=ECE, district=Vellore"
533,Cutoff + Branch + District,Mechanical Engineering in Salem for 176 cutoff?,"cutoff=176, branch=Mechanical Engineering, district=Salem"
534,Cutoff + Branch + District,I have 155 cutoff. IT in Coimbatore?,"cutoff=155, branch=Information Technology, district=Coimbatore"
535,Cutoff + Branch + District,CSE in Erode for 181 cutoff?,"cutoff=181, branch=CSE, district=Erode"
536,Cutoff + Branch + District,I have 171 cutoff. EEE in Tiruchirappalli?,"cutoff=171, branch=EEE, district=Tiruchirappalli"
537,Cutoff + Branch + District,AI&DS in Madurai for 177 cutoff?,"cutoff=177, branch=AI & Data Science, district=Madurai"
538,Cutoff + Branch + District,I have 164 cutoff. ECE in Namakkal?,"cutoff=164, branch=ECE, district=Namakkal"
539,Cutoff + Branch + District,Chemical Engineering in Villupuram for 162 cutoff?,"cutoff=162, branch=Chemical Engineering, district=Villupuram"
540,Cutoff + Branch + District,I have 188 cutoff. Mechanical in Coimbatore?,"cutoff=188, branch=Mechanical Engineering, district=Coimbatore"
541,Cutoff + Branch + District,CSE in Tirunelveli for 169 cutoff?,"cutoff=169, branch=CSE, district=Tirunelveli"
542,Cutoff + Branch + District,I have 173 cutoff. IT colleges in Kanchipuram?,"cutoff=173, branch=Information Technology, district=Kanchipuram"
543,Cutoff + Branch + District,ECE in Dharmapuri for 159 cutoff?,"cutoff=159, branch=ECE, district=Dharmapuri"
544,Cutoff + Branch + District,I have 184 cutoff. AI&DS in Chennai?,"cutoff=184, branch=AI & Data Science, district=Chennai"
545,Cutoff + Branch + District,Mechanical Engineering in Dindigul for 170 cutoff?,"cutoff=170, branch=Mechanical Engineering, district=Dindigul"
546,Cutoff + Branch + District,I have 154 cutoff. CSE in Vellore?,"cutoff=154, branch=CSE, district=Vellore"
547,Cutoff + Branch + District,EEE in Krishnagiri for 166 cutoff?,"cutoff=166, branch=EEE, district=Krishnagiri"
548,Cutoff + Branch + District,I have 196 cutoff. CSE in Coimbatore or Chennai?,"cutoff=196, branch=CSE, district=Coimbatore"
549,Cutoff + Branch + District,Civil Engineering in Kanchipuram for 175 cutoff?,"cutoff=175, branch=Civil Engineering, district=Kanchipuram"
550,Cutoff + Branch + District,I have 157 cutoff. IT in Madurai?,"cutoff=157, branch=Information Technology, district=Madurai"
551,Cutoff + Branch + District,CSE in Tiruchirappalli for 186 cutoff?,"cutoff=186, branch=CSE, district=Tiruchirappalli"
552,Cutoff + Branch + District,I have 163 cutoff. ECE in Tiruppur?,"cutoff=163, branch=ECE, district=Tiruppur"
553,Cutoff + Branch + District,Mechanical in Namakkal for 174 cutoff?,"cutoff=174, branch=Mechanical Engineering, district=Namakkal"
554,Cutoff + Branch + District,I have 180 cutoff. Biotechnology in Madurai?,"cutoff=180, branch=Biotechnology, district=Madurai"
555,Cutoff + Branch + District,AI&ML in Salem for 183 cutoff?,"cutoff=183, branch=AI & ML, district=Salem"
556,Cutoff + Branch + District,I have 162 cutoff. EEE in Tirunelveli?,"cutoff=162, branch=EEE, district=Tirunelveli"
557,Cutoff + Branch + District,CSE in Chengalpattu for 178 cutoff?,"cutoff=178, branch=CSE, district=Chengalpattu"
558,Cutoff + Branch + District,I have 167 cutoff. Mechanical in Erode?,"cutoff=167, branch=Mechanical Engineering, district=Erode"
559,Cutoff + Branch + District,ECE in Thoothukudi for 172 cutoff?,"cutoff=172, branch=ECE, district=Thoothukudi"
560,Cutoff + Branch + District,I have 189 cutoff. IT in Chennai?,"cutoff=189, branch=Information Technology, district=Chennai"
561,Cutoff + Branch + District,Civil Engineering in Tirunelveli for 158 cutoff?,"cutoff=158, branch=Civil Engineering, district=Tirunelveli"
562,Cutoff + Branch + District,I have 176 cutoff. CSE in Dindigul?,"cutoff=176, branch=CSE, district=Dindigul"
563,Cutoff + Branch + District,Chemical Engineering in Cuddalore for 165 cutoff?,"cutoff=165, branch=Chemical Engineering, district=Cuddalore"
564,Cutoff + Branch + District,I have 171 cutoff. ECE in Erode?,"cutoff=171, branch=ECE, district=Erode"
565,Cutoff + Branch + District,AI&DS in Coimbatore for 190 cutoff?,"cutoff=190, branch=AI & Data Science, district=Coimbatore"
566,Cutoff + Branch + District,I have 156 cutoff. Mechanical in Vellore?,"cutoff=156, branch=Mechanical Engineering, district=Vellore"
567,Cutoff + Branch + District,CSE in Tirupattur for 174 cutoff?,"cutoff=174, branch=CSE, district=Tirupattur"
568,Cutoff + Branch + District,I have 193 cutoff. ECE in Coimbatore?,"cutoff=193, branch=ECE, district=Coimbatore"
569,Cutoff + Branch + District,Mechanical in Madurai for 169 cutoff?,"cutoff=169, branch=Mechanical Engineering, district=Madurai"
570,Cutoff + Branch + District,I have 160 cutoff. IT in Tirunelveli?,"cutoff=160, branch=Information Technology, district=Tirunelveli"
571,Cutoff + Branch + District,CSE in Cuddalore for 177 cutoff?,"cutoff=177, branch=CSE, district=Cuddalore"
572,Cutoff + Branch + District,I have 182 cutoff. Civil Engineering in Coimbatore?,"cutoff=182, branch=Civil Engineering, district=Coimbatore"
573,Cutoff + Branch + District,EEE in Madurai for 170 cutoff?,"cutoff=170, branch=EEE, district=Madurai"
574,Cutoff + Branch + District,I have 175 cutoff. ECE in Tirunelveli?,"cutoff=175, branch=ECE, district=Tirunelveli"
575,Cutoff + Branch + District,AI&DS in Tiruchirappalli for 185 cutoff?,"cutoff=185, branch=AI & Data Science, district=Tiruchirappalli"
576,Cutoff + Branch + District,I have 161 cutoff. Biotechnology in Chennai?,"cutoff=161, branch=Biotechnology, district=Chennai"
577,Cutoff + Branch + District,CSE in Erode for 168 cutoff?,"cutoff=168, branch=CSE, district=Erode"
578,Cutoff + Branch + District,I have 187 cutoff. Mechanical in Tiruchirappalli?,"cutoff=187, branch=Mechanical Engineering, district=Tiruchirappalli"
579,Cutoff + Branch + District,ECE in Kallakurichi for 163 cutoff?,"cutoff=163, branch=ECE, district=Kallakurichi"
580,Cutoff + Branch + District,I have 198 cutoff. CSE in Chennai or Coimbatore?,"cutoff=198, branch=CSE, district=Chennai"
581,Cutoff + Branch + District,Mechatronics in Coimbatore for 175 cutoff?,"cutoff=175, branch=Mechatronics, district=Coimbatore"
582,Cutoff + Branch + District,I have 166 cutoff. ECE in Kanchipuram?,"cutoff=166, branch=ECE, district=Kanchipuram"
583,Cutoff + Branch + District,CSE in Namakkal for 179 cutoff?,"cutoff=179, branch=CSE, district=Namakkal"
584,Cutoff + Branch + District,I have 153 cutoff. IT in Trichy?,"cutoff=153, branch=Information Technology, district=Tiruchirappalli"
585,Cutoff + Branch + District,Mechanical in Karur for 172 cutoff?,"cutoff=172, branch=Mechanical Engineering, district=Karur"
586,Cutoff + Branch + District,I have 191 cutoff. AI&ML in Coimbatore?,"cutoff=191, branch=AI & ML, district=Coimbatore"
587,Cutoff + Branch + District,ECE in Tirupattur for 164 cutoff?,"cutoff=164, branch=ECE, district=Tirupattur"
588,Cutoff + Branch + District,I have 174 cutoff. EEE in Erode?,"cutoff=174, branch=EEE, district=Erode"
589,Cutoff + Branch + District,Biotechnology in Coimbatore for 180 cutoff?,"cutoff=180, branch=Biotechnology, district=Coimbatore"
590,Cutoff + Branch + District,I have 195 cutoff. CSE in Madurai or Coimbatore?,"cutoff=195, branch=CSE, district=Madurai"
591,Cutoff + Branch + District,Civil Engineering in Salem for 167 cutoff?,"cutoff=167, branch=Civil Engineering, district=Salem"
592,Cutoff + Branch + District,I have 158 cutoff. ECE in Salem?,"cutoff=158, branch=ECE, district=Salem"
593,Cutoff + Branch + District,Chemical in Nagapattinam for 162 cutoff?,"cutoff=162, branch=Chemical Engineering, district=Nagapattinam"
594,Cutoff + Branch + District,I have 184 cutoff. IT in Coimbatore?,"cutoff=184, branch=Information Technology, district=Coimbatore"
595,Cutoff + Branch + District,EEE in Namakkal for 175 cutoff?,"cutoff=175, branch=EEE, district=Namakkal"
596,Cutoff + Branch + District,I have 169 cutoff. CSE in Kanchipuram?,"cutoff=169, branch=CSE, district=Kanchipuram"
597,Cutoff + Branch + District,ECE in Dindigul for 177 cutoff?,"cutoff=177, branch=ECE, district=Dindigul"
598,Cutoff + Branch + District,I have 155 cutoff. Mechanical in Thanjavur?,"cutoff=155, branch=Mechanical Engineering, district=Thanjavur"
599,Cutoff + Branch + District,CSE in Tirunelveli for 185 cutoff?,"cutoff=185, branch=CSE, district=Tirunelveli"
600,Cutoff + Branch + District,I have 178 cutoff. Civil in Erode?,"cutoff=178, branch=Civil Engineering, district=Erode"
601,College Ownership,Which government colleges can I get with 180 cutoff?,"cutoff=180, ownership=Government"
602,College Ownership,Show government-aided CSE colleges.,"branch=CSE, ownership=Government Aided"
603,College Ownership,Which self-financing colleges offer ECE?,"branch=ECE, ownership=Self-Financing"
604,College Ownership,Give me private colleges for 170 cutoff.,"cutoff=170, ownership=Private"
605,College Ownership,Government colleges in Coimbatore?,"district=Coimbatore, ownership=Government"
606,College Ownership,Government aided colleges in Chennai?,"district=Chennai, ownership=Government Aided"
607,College Ownership,Self-financing colleges in Salem?,"district=Salem, ownership=Self-Financing"
608,College Ownership,Private colleges in Madurai?,"district=Madurai, ownership=Private"
609,College Ownership,I want only government college. Which are available?,"ownership=Government"
610,College Ownership,Which government-aided colleges offer Mechanical Engineering?,"branch=Mechanical Engineering, ownership=Government Aided"
611,College Ownership,Show self-financing colleges near Chennai.,"district=Chennai, ownership=Self-Financing"
612,College Ownership,Government colleges in Tamil Nadu list?,"ownership=Government"
613,College Ownership,I have 175 cutoff. Are government colleges possible?,"cutoff=175, ownership=Government"
614,College Ownership,Government-aided ECE colleges?,"branch=ECE, ownership=Government Aided"
615,College Ownership,Self financing CSE colleges in Coimbatore?,"branch=CSE, district=Coimbatore, ownership=Self-Financing"
616,College Ownership,Give me government or government-aided colleges for ECE.,"branch=ECE, ownership=Government, ownership=Government Aided"
617,College Ownership,Private engineering colleges in Tiruchirappalli?,"district=Tiruchirappalli, ownership=Private"
618,College Ownership,I want a government-aided college. Show options.,"ownership=Government Aided"
619,College Ownership,Self-financing colleges in Tamil Nadu with CSE?,"branch=CSE, ownership=Self-Financing"
620,College Ownership,Government colleges for 185 cutoff?,"cutoff=185, ownership=Government"
621,College Ownership,Government-aided colleges in Coimbatore?,"district=Coimbatore, ownership=Government Aided"
622,College Ownership,Private CSE colleges in Chennai?,"branch=CSE, district=Chennai, ownership=Private"
623,College Ownership,Self-financing EEE colleges?,"branch=EEE, ownership=Self-Financing"
624,College Ownership,I have 165 cutoff. Any government college possible?,"cutoff=165, ownership=Government"
625,College Ownership,Which government colleges have CSE?,"branch=CSE, ownership=Government"
626,College Ownership,Government aided colleges in Salem?,"district=Salem, ownership=Government Aided"
627,College Ownership,I want self-financing college in Madurai. Show options.,"district=Madurai, ownership=Self-Financing"
628,College Ownership,Government engineering colleges in Tamil Nadu?,"ownership=Government"
629,College Ownership,Any government colleges in Villupuram?,"district=Villupuram, ownership=Government"
630,College Ownership,Private Mechanical Engineering colleges?,"branch=Mechanical Engineering, ownership=Private"
631,College Ownership,Government aided colleges in Madurai?,"district=Madurai, ownership=Government Aided"
632,College Ownership,I prefer government or government-aided. Show colleges.,"ownership=Government, ownership=Government Aided"
633,College Ownership,Self-financing IT colleges in Coimbatore?,"branch=Information Technology, district=Coimbatore, ownership=Self-Financing"
634,College Ownership,Government colleges in Chennai and nearby?,"district=Chennai, ownership=Government"
635,College Ownership,Which private colleges have good placements?,"ownership=Private, placement=good"
636,College Ownership,Government colleges in Namakkal?,"district=Namakkal, ownership=Government"
637,College Ownership,Show self-financing colleges with low fees.,"ownership=Self-Financing, fees=low"
638,College Ownership,Government-aided colleges offering AI&DS?,"branch=AI & Data Science, ownership=Government Aided"
639,College Ownership,Private colleges in Erode?,"district=Erode, ownership=Private"
640,College Ownership,Government colleges for 160 cutoff?,"cutoff=160, ownership=Government"
641,College Ownership,I have 190 cutoff. Best government college?,"cutoff=190, ownership=Government"
642,College Ownership,Government-aided colleges in Coimbatore for CSE?,"branch=CSE, district=Coimbatore, ownership=Government Aided"
643,College Ownership,Self-financing colleges in Chennai for ECE?,"branch=ECE, district=Chennai, ownership=Self-Financing"
